SITE_ID,NEW_AREA_NAME,SITE_RANKED_NGR,SITE_RANKED_EASTING,SITE_RANKED_NORTHING,N_SURVEYS,FIRST_SURVEY,LAST_SURVEY
141,Staffordshire Warwickshire and West Midlands,SP2201481980,422014,281980,13,08/03/1990,02/07/2024
39106,Kent and South London,TQ9819743304,598197,143304,1,31/08/2011,31/08/2011
1857,Essex Norfolk and Suffolk,TM4970076600,649700,276600,1,21/10/1999,21/10/1999
1646,Essex Norfolk and Suffolk,TG2930006100,629300,306100,5,17/11/1986,14/08/1997
101,Staffordshire Warwickshire and West Midlands,SJ9032849311,390328,349311,6,04/09/1991,17/05/2011
363,Staffordshire Warwickshire and West Midlands,SJ9850025800,398500,325800,1,07/02/1995,07/02/1995
819,Essex Norfolk and Suffolk,TL7939624230,579396,224230,20,13/07/1984,15/09/2023
5735,Staffordshire Warwickshire and West Midlands,SP0880056700,408800,256700,3,23/08/1989,20/07/1995
5601,Cumbria and Lancashire,NY0652020678,306520,520678,7,04/08/2003,21/07/2023
5965,Lincolnshire and Northamptonshire,TF1190016300,511900,316300,3,08/05/1991,17/03/2011
6710,Lincolnshire and Northamptonshire,TF0320091000,503200,391000,6,20/08/1986,16/07/2007
399,Wessex,ST6699954441,366999,154441,1,04/05/2000,04/05/2000
19689,Wessex,SZ0118099468,401180,99468,5,27/07/2001,02/08/2018
5172,Cumbria and Lancashire,NY4540832735,345408,532735,19,20/05/1975,18/06/2024
10440,Shropshire Herefordshire Worcestershire and Gloucestershire,SJ3378821274,333788,321274,3,10/06/2003,21/05/2013
35437,West Thames,SU8742578169,487425,178169,1,13/07/2010,13/07/2010
1205,Shropshire Herefordshire Worcestershire and Gloucestershire,SJ4904127317,349041,327317,4,22/04/1992,15/05/2024
1407,Shropshire Herefordshire Worcestershire and Gloucestershire,SO7290050700,372900,250700,2,07/05/1991,10/07/1997
19257,Devon and Cornwall,SX3453068211,234530,68211,5,30/08/1990,24/08/2006
4554,Cambridgeshire and Bedfordshire,SP7666946640,476669,246640,9,26/04/1988,23/08/2019
51943,Wessex,SY6426793638,364267,93638,1,15/10/2013,15/10/2013
565,Essex Norfolk and Suffolk,TL7320023400,573200,223400,4,20/01/1997,20/02/2009
5385,Cumbria and Lancashire,NY0359104623,303591,504623,2,22/09/1998,27/08/2003
50984,Lincolnshire and Northamptonshire,SK8785008730,487850,308730,1,12/09/2013,12/09/2013
8022,Lincolnshire and Northamptonshire,TF3580086800,535800,386800,1,05/02/1999,05/02/1999
17798,Cumbria and Lancashire,NY4436178611,344361,578611,1,07/10/2005,07/10/2005
22752,Cumbria and Lancashire,NY6266742774,362667,542774,3,29/08/2006,03/07/2019
12379,Wessex,ST4047922707,340479,122707,2,14/05/1992,22/04/1997
32412,Essex Norfolk and Suffolk,TF8498129045,584981,329045,4,09/03/2009,11/03/2015
22775,Yorkshire,SE8350780068,483507,480068,7,11/09/1997,18/09/2024
3481,Northumbria,NZ1009899431,410098,599431,15,24/08/1993,22/07/2024
4872,Cambridgeshire and Bedfordshire,TL3172496261,531724,296261,10,08/06/1987,31/05/2011
16858,Northumbria,NY8580044800,385800,544800,1,26/09/2005,26/09/2005
17185,Cumbria and Lancashire,NY8012214138,380122,514138,7,31/08/2005,04/07/2024
29950,Northumbria,NZ2330051500,423300,551500,1,16/09/2013,16/09/2013
11549,Cumbria and Lancashire,SD4840099200,348400,499200,2,27/07/1993,09/08/1999
3522,Staffordshire Warwickshire and West Midlands,SP5613477691,456134,277691,3,11/08/1992,10/07/2014
31849,Yorkshire,SK3333890213,433338,390213,1,10/11/2008,10/11/2008
9442,Devon and Cornwall,SS3569016940,235690,116940,5,07/08/1998,05/08/2024
11635,Cumbria and Lancashire,SD2690092900,326900,492900,1,07/10/1994,07/10/1994
17752,Cumbria and Lancashire,SD5636468096,356364,468096,1,06/10/2005,06/10/2005
1414,Shropshire Herefordshire Worcestershire and Gloucestershire,SO8360052300,383600,252300,4,10/06/1993,18/07/2005
10481,Devon and Cornwall,SX2520089150,225200,89150,13,31/07/1984,09/08/2024
4615,Cambridgeshire and Bedfordshire,TL4072273537,540722,273537,7,26/07/1988,10/10/2006
31282,Cumbria and Lancashire,SD8020074000,380200,474000,1,18/08/1992,18/08/1992
48723,Derbyshire Nottinghamshire and Leicestershire,SK6528815685,465288,315685,1,24/04/2013,24/04/2013
79243,West Thames,SU3667468217,436674,168217,2,13/10/2023,08/10/2024
6384,Greater Manchester Merseyside and Cheshire,SD8112422642,381124,422642,3,20/11/1996,26/06/2023
12762,Shropshire Herefordshire Worcestershire and Gloucestershire,SO5630037300,356300,237300,2,22/07/1997,30/07/1999
44061,Wessex,ST5639215975,356392,115975,2,23/08/2012,03/10/2018
22632,Cumbria and Lancashire,SD6164518093,361645,418093,14,08/08/2000,18/07/2023
22841,Cumbria and Lancashire,NY4412059080,344120,559080,2,25/08/2006,01/07/2013
16931,Northumbria,NY7060069200,370600,569200,4,09/08/2005,01/08/2022
63387,Yorkshire,SE3975522743,439755,422743,1,20/08/2015,20/08/2015
78786,Devon and Cornwall,SY2430194235,324301,94235,2,30/06/2023,24/05/2024
12967,Shropshire Herefordshire Worcestershire and Gloucestershire,SO8605017890,386050,217890,1,06/06/1995,06/06/1995
5266,Shropshire Herefordshire Worcestershire and Gloucestershire,SJ7570021000,375700,321000,6,14/05/1992,16/05/2006
9293,Devon and Cornwall,SX6029075290,260290,75290,8,03/06/1996,22/07/2024
35449,Kent and South London,TQ2370067300,523700,167300,3,11/03/1992,29/10/2013
1788,Essex Norfolk and Suffolk,TG4090013400,640900,313400,1,02/11/1993,02/11/1993
13243,Devon and Cornwall,SS2772108763,227721,108763,6,29/06/1993,04/08/2022
26377,Cumbria and Lancashire,NY4258356421,342583,556421,3,25/05/2007,31/03/2009
20906,Essex Norfolk and Suffolk,TG0165935551,601659,335551,1,18/02/2003,18/02/2003
23213,Lincolnshire and Northamptonshire,TF0600010900,506000,310900,2,17/10/2006,30/10/2007
73267,Yorkshire,SE0285712052,402857,412052,2,27/03/2019,05/09/2019
40246,Wessex,SU0265931183,402659,131183,2,12/10/2011,26/06/2023
27037,Cumbria and Lancashire,NY1536900285,315369,500285,1,17/07/2007,17/07/2007
78194,Cumbria and Lancashire,NY1757300784,317573,500784,2,22/08/2023,26/09/2024
50925,Yorkshire,SE8094585632,480945,485632,1,17/09/2013,17/09/2013
811,Essex Norfolk and Suffolk,TL8640019400,586400,219400,20,31/07/1984,23/09/2023
1429,Shropshire Herefordshire Worcestershire and Gloucestershire,SJ5940004500,359400,304500,9,07/07/1992,15/07/2015
3486,Northumbria,NU2320011400,423200,611400,3,20/09/1993,25/07/2005
157,Staffordshire Warwickshire and West Midlands,SJ9700057200,397000,357200,2,13/09/1995,30/06/1998
6374,Cumbria and Lancashire,NY3736317179,337363,517179,1,23/08/2002,23/08/2002
35869,Essex Norfolk and Suffolk,TG0047020274,600470,320274,2,07/09/2010,28/09/2011
11251,Northumbria,NZ0530062100,405300,562100,1,04/06/2003,04/06/2003
1345,Shropshire Herefordshire Worcestershire and Gloucestershire,SO4090086900,340900,286900,7,30/06/1993,29/08/2024
3670,Derbyshire Nottinghamshire and Leicestershire,SK7873047645,478730,347645,8,05/05/1995,08/07/2024
6418,Greater Manchester Merseyside and Cheshire,SK0104480690,401044,380690,2,27/06/1997,03/02/1998
37708,West Thames,SU6115492312,461154,192312,1,08/06/2011,08/06/2011
3898,Yorkshire,SK3727671429,437276,371429,6,14/01/1985,15/09/2017
11364,Hertfordshire and North London,TL3293813255,532938,213255,15,24/10/2002,21/06/2018
3884,Yorkshire,SE5570055200,455700,455200,7,18/07/1996,09/07/2003
10349,Cumbria and Lancashire,NY1510220872,315102,520872,6,11/09/2001,22/07/2013
5177,Cumbria and Lancashire,NY6180621185,361806,521185,19,08/07/2002,26/06/2024
6103,Lincolnshire and Northamptonshire,TL0750096500,507500,296500,1,11/07/1995,11/07/1995
26658,Solent and South Downs,SZ4931488943,449314,88943,3,01/02/2007,30/08/2018
10904,Northumbria,NY9750038400,397500,538400,3,03/10/2003,28/08/2013
58744,Wessex,ST5573677235,355736,177235,1,19/06/2014,19/06/2014
4546,Cambridgeshire and Bedfordshire,TL5226692943,552266,292943,11,20/04/1988,21/03/2023
21608,Shropshire Herefordshire Worcestershire and Gloucestershire,SO8761010153,387610,210153,3,18/03/1992,24/08/2006
66304,Yorkshire,SE0061353662,400613,453662,1,14/08/2015,14/08/2015
23863,Yorkshire,SK3448075487,434480,375487,5,16/01/1985,18/09/2017
54904,Derbyshire Nottinghamshire and Leicestershire,SK4671928102,446719,328102,1,12/02/2014,12/02/2014
3781,Yorkshire,SE7051947438,470519,447438,14,26/09/1997,30/07/2024
30955,Cumbria and Lancashire,SD7096499897,370964,499897,1,14/08/1997,14/08/1997
64704,Derbyshire Nottinghamshire and Leicestershire,SK4646547485,446465,347485,1,26/06/2015,26/06/2015
8322,Shropshire Herefordshire Worcestershire and Gloucestershire,SO9910059800,399100,259800,4,24/07/1990,22/08/2006
1680,Essex Norfolk and Suffolk,TM4870095600,648700,295600,4,12/10/1987,29/09/1999
11293,Devon and Cornwall,SX0528586455,205285,86455,1,02/10/2003,02/10/2003
67029,Wessex,ST6196080745,361960,180745,1,19/04/2016,19/04/2016
1795,Essex Norfolk and Suffolk,TG4560013300,645600,313300,1,20/08/1997,20/08/1997
6330,Solent and South Downs,TQ0709030706,507090,130706,5,31/07/2002,26/07/2006
53784,Derbyshire Nottinghamshire and Leicestershire,SK5384246863,453842,346863,1,03/12/2013,03/12/2013
9333,Devon and Cornwall,SX8347087990,283470,87990,6,04/07/1996,25/06/2019
42104,Northumbria,NY9159368333,391593,568333,1,27/09/1996,27/09/1996
